,region,accumulation,G
257,0,3509,1.9
258,0,3529,2.6
259,0,3561,3.4
260,0,3573,2.8
261,0,3600,4.8
262,0,3607,3.9
263,0,3628,4.0
264,0,3636,4.2
265,0,3639,2.9
266,0,3664,1.3
267,0,3697,2.9
268,0,3706,4.1
269,0,3711,2.1
270,0,3728,4.4
271,0,3756,4.5
272,0,3768,4.1
273,0,3766,4.7
274,0,3753,1.9
275,0,3777,2.0
276,0,3801,3.3
277,0,3811,3.4
278,0,3818,3.5
279,0,3820,3.9
280,0,3832,5.6
281,0,3839,5.5
282,0,3831,4.5
283,0,3825,4.1
284,0,3824,2.0
285,0,3837,1.1
286,0,3872,1.5
287,0,3891,3.4
288,0,3897,3.9
289,0,3925,3.1
290,0,3941,4.2
291,0,3945,5.4
292,0,3924,3.9
293,0,3924,3.1
294,0,3924,1.5
295,0,3945,2.0
296,0,3962,2.2
297,0,3973,5.0
298,0,3981,3.8
299,0,3988,3.6
300,0,4000,5.9
301,0,3997,4.5
302,0,3973,3.1
303,0,3989,3.1
304,0,3991,1.5
305,0,4008,1.4
306,0,4030,2.9
307,0,4052,2.3
308,0,4073,3.4
309,0,4076,4.3
310,0,4068,4.8
311,0,4057,3.3
312,0,4086,3.9
313,0,4092,4.6
314,0,4077,2.4
315,0,4087,3.1
316,0,4103,2.5
317,0,4122,3.5
318,0,4125,4.4
319,0,4122,4.9
320,0,4102,3.1
321,0,4129,2.9
322,0,4152,3.4
323,0,4156,2.8
324,0,4165,2.5
325,0,4193,2.8
326,0,4209,2.3
327,0,4220,3.1
328,0,4229,4.5
329,0,4214,4.4
330,0,4202,3.9
331,0,4207,3.4
332,0,4205,3.1
333,0,4204,3.7
334,0,4214,3.2
335,0,4238,2.0
336,0,4253,2.5
337,0,4266,3.0
338,0,4271,3.6
339,0,4268,3.9
340,0,4264,3.2
341,0,4278,3.7
342,0,4271,3.7
343,0,4288,3.4
344,0,4292,2.3
345,0,4303,3.5
346,0,4311,2.4
347,0,4332,2.1
348,0,4345,4.4
349,0,4331,4.1
350,0,4325,4.4
351,0,4316,4.3
352,0,4333,3.9
353,0,4337,2.9
354,0,4339,2.1
355,0,4357,2.5
356,0,4362,2.2
357,0,4367,2.8
358,0,4384,3.3
359,0,4375,3.9
360,1,230,0.1
361,1,230,0.4
362,1,246,1.2
363,1,258,0.5
364,1,281,0.5
365,1,302,1.2
366,1,329,1.1
367,1,355,0.5
368,1,381,0.5
369,1,413,1.8
370,1,438,2.6
371,1,458,2.7
372,1,487,2.3
373,1,518,1.7
374,1,542,0.7
375,1,568,1.6
376,1,598,2.4
377,1,634,3.0
378,1,661,2.6
379,1,686,1.7
380,1,722,2.9
381,1,747,3.3
382,1,789,2.0
383,1,831,3.6
384,1,844,3.8
385,1,861,2.2
386,1,888,2.2
387,1,914,4.1
388,1,946,2.6
389,1,969,3.1
390,1,974,2.5
391,1,1011,3.4
392,1,1046,4.1
393,1,1082,4.4
394,1,1108,3.8
395,1,1125,3.1
396,1,1125,4.6
397,1,1144,4.2
398,1,1168,3.5
399,1,1189,2.7
400,1,1214,2.3
401,1,1258,3.1
402,1,1287,5.9
403,1,1328,5.6
404,1,1349,4.4
405,1,1360,4.5
406,1,1386,6.2
407,1,1382,6.0
408,1,1401,4.0
409,1,1429,3.7
410,1,1452,3.4
411,1,1471,2.4
412,1,1538,3.5
413,1,1580,5.1
414,1,1605,5.4
415,1,1618,5.7
416,1,1623,5.0
417,1,1640,5.7
418,1,1641,6.9
419,1,1653,4.2
420,1,1660,4.2
421,1,1711,2.8
422,1,1763,2.3
423,1,1804,5.3
424,1,1821,5.9
425,1,1824,6.8
426,1,1815,4.3
427,1,1831,3.8
428,1,1856,4.7
429,1,1873,6.2
430,1,1903,7.1
431,1,1910,2.7
432,1,1956,2.6
433,1,2024,4.0
434,1,2047,5.0
435,1,2051,6.8
436,1,2059,4.3
437,1,2068,6.3
438,1,2058,4.6
439,1,2073,4.3
440,1,2097,6.1
441,1,2142,5.5
442,1,2177,5.1
443,1,2203,3.3
444,1,2247,6.1
445,1,2258,4.9
446,1,2284,5.5
447,1,2289,3.9
448,1,2310,3.9
449,1,2328,2.7
450,1,2364,7.2
451,1,2401,5.1
452,1,2425,6.5
453,1,2438,6.1
454,1,2456,4.5
455,1,2490,5.2
456,1,2511,5.8
457,1,2533,5.5
458,1,2547,4.9
459,1,2558,4.3
460,1,2592,5.4
461,1,2608,5.2
462,1,2631,2.7
463,1,2678,5.8
464,1,2686,5.0
465,1,2699,5.5
466,1,2730,4.8
467,1,2771,4.7
468,1,2797,4.8
469,1,2828,4.4
470,1,2846,6.1
471,1,2847,4.0
472,1,2881,3.8
473,1,2926,3.3
474,1,2958,3.9
475,1,2996,5.3
476,1,3017,5.7
477,1,3038,7.1
478,1,3048,4.9
479,1,3068,3.6
480,1,3079,4.8
481,1,3146,6.8
482,1,3145,5.0
483,1,3189,6.0
484,1,3203,4.7
485,1,3217,5.0
486,1,3228,6.5
487,1,3239,6.6
488,1,3253,4.8
489,1,3281,3.6
490,1,3307,4.8
491,1,3327,5.5
492,1,3352,5.4
493,1,3391,3.6
494,1,3448,4.2
495,1,3449,4.5
496,1,3478,5.5
497,1,3480,7.0
498,1,3489,7.7
499,1,3489,5.3
500,1,3499,2.3
501,1,3547,2.4
502,1,3621,4.6
503,1,3670,6.1
504,1,3678,4.5
505,1,3708,5.5
506,1,3697,4.6
507,1,3687,5.4
508,1,3701,5.8
509,1,3717,5.1
510,1,3740,5.3
511,1,3764,4.6
512,1,3815,2.7
513,1,3886,5.3
514,1,3912,6.2
515,1,3911,4.1
516,1,3911,6.0
517,1,3905,5.5
518,1,3912,4.5
519,1,3936,2.8
520,1,3983,4.1
521,1,4023,4.4
522,1,4050,6.1
523,1,4068,6.1
524,1,4087,4.5
525,1,4110,4.0
526,1,4132,3.0
527,1,4160,3.3
528,1,4180,5.6
529,1,4196,6.4
530,1,4216,5.9
531,1,4237,4.1
532,1,4263,4.6
533,1,4293,6.3
534,1,4297,4.3
535,1,4325,4.0
536,1,4338,5.2
537,1,4335,3.7
538,1,4358,4.7
539,1,4379,3.7
540,1,4390,4.6
541,1,4506,3.5
542,1,4531,4.6
543,1,4538,2.9
544,1,4563,6.3
545,1,4556,6.4
546,1,4540,4.8
547,1,4558,3.8
548,1,4585,3.2
549,1,4602,4.3
550,1,4638,5.2
551,1,4656,3.9
552,1,4678,2.2
553,1,4730,3.1
554,1,4745,4.1
555,1,4746,6.8
556,1,4752,6.2
557,1,4758,4.1
558,1,4775,4.3
559,1,4791,4.8
560,1,4792,6.2
561,1,4808,5.1
562,1,4832,3.1
563,1,4890,1.9
564,1,4931,1.6
565,1,4966,3.9
566,1,5006,3.0
567,1,5026,6.3
568,1,5022,6.2
569,1,5027,4.7
570,1,5025,6.6
571,1,5028,4.9
572,1,5057,3.2
573,1,5117,2.3
574,1,5156,2.1
575,1,5188,2.8
576,1,5187,5.4
577,1,5203,5.0
578,1,5217,5.2
579,1,5207,4.2
580,1,5220,4.9
581,1,5219,4.1
582,1,5250,3.0
583,1,5306,2.4
584,1,5351,3.3
585,1,5349,3.1
586,1,5393,3.6
587,1,5407,3.7
588,1,5428,4.1
589,1,5425,3.6
590,1,5439,4.7
591,1,5429,5.0
592,1,5442,2.6
593,1,5482,3.8
594,1,5508,3.2
595,1,5529,3.3
596,1,5536,4.9
597,1,5526,3.2
598,1,5541,2.9
599,1,5567,2.5
600,1,5580,3.2
601,1,5644,4.1
602,1,5672,3.8
603,1,5695,4.3
604,1,5711,3.6
605,1,5715,3.1
606,1,5719,2.4
607,1,5737,3.7
608,1,5747,2.7
609,1,5777,1.7
610,1,5809,3.1
611,1,5843,2.6
612,1,5865,4.5
613,1,5894,4.9
614,1,5903,4.6
615,1,5891,2.8
616,1,5905,2.0
617,1,5925,2.6
618,1,5949,3.3
619,1,5973,4.2
620,1,5994,3.1
621,1,6023,4.2
622,1,6042,4.9
623,1,6044,5.8
624,1,6024,5.7
625,1,6017,4.0
626,1,6023,3.5
627,1,6024,2.9
628,1,6040,3.4
629,1,6058,2.9
630,1,6060,3.8
631,1,6123,3.5
632,1,6142,2.7
633,1,6172,3.2
634,1,6195,4.7
635,1,6207,3.6
636,1,6219,4.0
637,1,6235,3.3
638,1,6255,2.4
639,1,6273,3.1
640,1,6288,3.6
641,1,6315,2.2
642,1,6350,2.9
643,1,6368,3.6
644,1,6369,4.3
645,1,6380,5.1
646,1,6383,5.7
647,1,6369,3.5
648,1,6371,4.4
649,1,6376,3.9
650,1,6379,3.8
651,1,6388,2.6
652,1,6422,2.4
653,1,6459,2.9
654,1,6470,3.9
655,1,6480,3.1
656,1,6495,3.4
657,1,6509,5.0
658,1,6506,2.8
659,1,6511,4.0
660,1,6514,3.5
661,1,6544,1.1
662,1,6584,2.2
663,1,6619,1.7
664,1,6655,2.6
665,1,6680,2.4
666,1,6693,4.1
667,1,6705,3.6
668,1,6710,3.8
669,1,6727,3.9
670,1,6727,4.2
671,1,6726,3.6
672,1,6726,1.7
673,1,6762,1.1
674,1,6793,0.6
675,1,6818,1.6
676,1,6848,2.5
677,1,6856,2.1
678,1,6868,2.3
679,1,6873,2.0
680,1,6872,2.3
681,1,6900,2.1
682,1,6923,2.6
683,1,6964,1.8
684,1,6976,2.9
685,1,6987,2.6
686,1,6993,3.0
687,1,6989,2.2
688,1,6996,2.2
689,1,7004,3.2
690,1,6999,3.7
691,1,7011,2.1
692,1,7051,2.0
693,1,7079,2.1
694,1,7110,2.5
695,1,7124,0.9
696,1,7137,1.6
697,1,7163,1.3
698,1,7185,2.8
699,1,7192,3.5
700,1,7189,2.9
701,1,7199,2.7
702,1,7222,2.5
703,1,7248,3.3
704,1,7242,2.0
705,1,7251,2.9
706,1,7255,2.5
707,1,7263,1.0
708,1,7280,1.0
709,1,7310,1.7
710,1,7336,2.2
711,1,7356,3.5
712,1,7371,3.9
713,1,7364,2.5
714,1,7366,3.2
715,1,7366,2.3
716,1,7369,1.9
717,1,7379,3.2
718,1,7378,2.4
719,1,7384,1.2
720,2,236,0.2
721,2,236,0.5
722,2,241,0.3
723,2,252,0.6
724,2,268,0.7
725,2,285,1.0
726,2,295,0.6
727,2,324,0.8
728,2,341,0.9
729,2,367,0.3
730,2,398,1.9
731,2,421,0.7
732,2,443,1.0
733,2,474,0.9
734,2,507,1.5
735,2,534,2.0
736,2,548,1.1
737,2,570,1.1
738,2,595,1.1
739,2,620,1.7
740,2,639,2.2
741,2,681,1.5
742,2,709,1.9
743,2,739,1.2
744,2,760,3.1
745,2,772,2.5
746,2,796,1.9
747,2,810,3.2
748,2,825,3.4
749,2,836,1.2
750,2,851,3.1
751,2,897,2.6
752,2,915,2.1
753,2,962,2.8
754,2,983,1.9
755,2,1009,2.7
756,2,1020,2.8
757,2,1044,3.2
758,2,1041,2.7
759,2,1048,1.6
760,2,1067,2.8
761,2,1115,2.9
762,2,1146,3.8
763,2,1165,3.0
764,2,1190,4.0
765,2,1200,3.0
766,2,1236,3.6
767,2,1223,4.3
768,2,1214,4.2
769,2,1213,2.0
770,2,1231,3.4
771,2,1267,4.5
772,2,1301,3.5
773,2,1303,3.2
774,2,1328,2.7
775,2,1376,4.1
776,2,1390,5.0
777,2,1387,4.0
778,2,1397,2.4
779,2,1414,2.2
780,2,1421,4.2
781,2,1486,3.9
782,2,1507,3.2
783,2,1513,2.5
784,2,1541,2.6
785,2,1572,4.5
786,2,1588,6.0
787,2,1576,2.9
788,2,1610,2.6
789,2,1629,3.5
790,2,1638,7.6
791,2,1625,5.4
792,2,1613,4.3
793,2,1654,2.4
794,2,1685,3.2
795,2,1705,5.4
796,2,1700,3.6
797,2,1715,3.5
798,2,1752,5.1
799,2,1748,4.9
800,2,1725,5.5
801,2,1756,5.4
802,2,1766,3.2
803,2,1769,4.3
804,2,1774,4.6
805,2,1783,3.1
806,2,1808,4.0
807,2,1831,3.2
808,2,1842,3.4
809,2,1851,2.7
810,2,1849,6.1
811,2,1908,4.7
812,2,1924,5.5
813,2,1933,5.4
814,2,1931,3.0
815,2,1957,4.3
816,2,1962,4.0
817,2,1974,5.1
818,2,1955,3.3
819,2,1976,3.5
820,2,1994,5.0
821,2,2027,5.0
822,2,2051,3.1
823,2,2090,3.4
824,2,2098,4.9
825,2,2085,5.9
826,2,2098,5.3
827,2,2103,2.8
828,2,2113,3.4
829,2,2136,2.2
830,2,2161,4.4
831,2,2202,4.4
832,2,2219,4.0
833,2,2236,3.2
834,2,2257,4.8
835,2,2254,6.2
836,2,2252,4.1
837,2,2249,3.9
838,2,2260,4.5
839,2,2254,3.2
840,2,2265,6.2
841,2,2350,4.4
842,2,2371,3.7
843,2,2379,3.2
844,2,2400,3.6
845,2,2412,4.5
846,2,2412,5.4
847,2,2424,3.9
848,2,2420,4.2
