,id,from,to,average_twodirection_density,average_twodirection_speed,reverse_edge,twodir_density_interval,twodir_speed_interval
141,36-1,27,36,25.972259760605215,3.303000781207756,27-3,[51.94451952121044],[0.7356537882319311]
142,36-2,35,36,30.009349154980224,3.6702127059993592,35-4,[60.01869830996045],[0.7016895667712395]
143,36-3,kangcheng,36,7.210967512082283,4.935550659049874,kangcheng1,[14.421935024164569],[1.5958120957354458]
144,36-4,37,36,26.90706941256183,2.3008565804373133,37-2,[53.81413882512367],[3.9275212551868037]
145,37-1,2429079888,37,2.2796387073347857,20.416871624936217,0,[2.2796387073347857],[20.416871624936217]
146,37-2,36,37,26.90706941256183,2.3008565804373133,36-4,[53.81413882512367],[0.6741919056878225]
147,37-3,baixing,37,9.749468600755343,4.615982560856376,baixing1,[19.49893720151069],[1.572451791270046]
148,37-4,545,37,14.925615153025323,4.476978491225236,5452,[29.85123030605065],[7.37737914150797]
149,38-1,2428820037,38,6.813210375719835,8.059862970392937,38-5,[13.626420751439671],[3.508697582446575]
150,38-2,39,38,6.851514650883267,4.457072448779427,39-4,[13.703029301766534],[2.444363361792168]
151,38-3,557,38,20.03233722545773,5.107011263256536,38-7,[40.06467445091546],[6.248001487525999]
152,38-4,gneJ20,38,10.779920582465195,2.749021082465545,38-6,[21.559841164930393],[1.339211099858494]
153,38-5,38,2428820037,6.800417961556169,8.059862970392937,38-1,[13.600835923112339],[12.611028358339299]
154,38-6,38,gneJ20,10.779920582465195,2.749021082465545,38-4,[21.559841164930393],[4.158831065072596]
155,38-7,38,557,20.023762472771548,5.107011263256536,38-3,[40.047524945543095],[3.966021038987072]
156,38-8,33,gneJ20,0.6370114886295996,6.212925583314369,33-2,[1.2740229772591993],[5.686265697982587]
157,39-1,3276695320,39,6.8560621401426936,8.065123695257133,39-6,[13.712124280285387],[10.939293598892508]
158,39-2,7821713165,39,0.5116966540081224,13.247770257397583,39-5,[1.0233933080162447],[13.3276321269821]
159,39-3,baiyang,39,17.49413790315293,3.6384723588887136,baiyang1,[34.98827580630586],[2.027691351973294]
160,39-4,38,39,6.853139107422974,4.457072448779427,38-2,[13.706278214845948],[6.469781535766686]
161,39-5,39,7821713165,0.5112992522044414,13.247770257397583,39-2,[1.0225985044088828],[13.167908387813068]
162,39-6,39,3276695320,6.8936271944737975,8.065123695257133,39-1,[13.787254388947595],[5.190953791621757]
163,4-2,2,4,1.1657892326663855,11.155087330976544,2-4,[2.3315784653327705],[12.139443619290216]
164,4-3,13,4,0.7575592964997003,8.65342356636941,13-1,[1.5151185929994007],[8.489705512370005]
165,4-4,5,4,1.8195509990328855,9.7493453918716,5-2,[3.6391019980657715],[10.522169271229435]
166,40-1,2138733219,40,0.6426605133187595,12.954726644193336,40-5,[1.2853210266375192],[13.142513028861625]
167,40-2,3276695320,40,16.826901449001536,7.587899748399551,40-6,[33.653802898003065],[2.32361795539335]
168,40-3,2428820037,40,4.61393946390483,7.727401848986144,40-7,[9.227878927809662],[2.6646032803710513]
169,40-4,41,40,10.957925772118573,3.4700770724406382,41-2,[21.915851544237146],[5.579198500111841]
170,40-5,40,2138733219,0.6426605133187595,12.954726644193336,40-1,[1.2853210266375192],[12.766940259525045]
171,40-6,40,3276695320,17.131041771146055,7.587899748399551,40-2,[34.26208354229211],[12.852181541405752]
172,40-7,40,2428820037,4.5568993131905415,7.727401848986144,40-3,[9.113798626381083],[12.790200417601238]
173,41-1,2428777208,41,23.49447130627774,3.6413684548040055,41-5,[46.98894261255548],[5.946819753553633]
174,41-2,40,41,10.957925772118573,3.4700770724406382,40-4,[21.915851544237146],[1.3609556447694355]
175,41-3,2428777196,41,13.109789476976978,4.053450444311673,41-6,[26.219578953953956],[1.5537886253280995]
176,41-5,41,2428777208,23.183906922174423,3.6413684548040055,41-1,[46.367813844348845],[1.335917156054378]
177,41-6,41,2428777196,13.238748001996425,4.053450444311673,41-3,[26.477496003992847],[6.5531122632952465]
178,42-1,yonghua,42,26.830579128486576,3.593941594781626,yonghua3,[53.66115825697315],[1.9303500121396036]
179,42-3,46,42,2.5171238937228844,16.98194207843811,0,[2.5171238937228844],[16.98194207843811]
180,42-4,shuili,42,14.514584268297245,5.324930415464345,shuili2,[29.029168536594486],[2.134130907766789]
181,42-5,42,gneJ25,100.47293423962002,2.982348400739583,0,[100.47293423962002],[2.982348400739583]
182,43-1,564,43,7.176468170796859,8.19600420364012,5643,[14.35293634159372],[3.651489069296993]
183,43-2,563,43,12.190853501642223,6.164270177303204,5633,[24.381707003284443],[7.208156808484097]
184,43-3,572,43,9.32100932100932,8.177911598745148,5721,[18.642018642018645],[4.304917467587005]
185,43-4,44,43,15.150109427445969,4.354553213806045,44-2,[30.30021885489194],[0.9899753702196326]
186,44-1,hanshang,44,1.8658808381623324,7.113391948812413,hanshang3,[3.731761676324665],[8.277359683355257]
187,44-2,43,44,15.125730616230811,4.354553213806045,43-4,[30.25146123246162],[7.719131057392458]
188,44-3,gneJ28,44,5.944390387468392,10.3542566964693,0,[5.944390387468392],[10.3542566964693]
189,44-4,45,44,8.009113214160534,4.53643658792558,45-2,[16.018226428321068],[7.412920396058406]
190,45-1,hanjiang,45,10.776746946621264,5.413577381334574,hanjiang3,[21.55349389324253],[3.275656344351437]
191,45-2,44,45,8.022779779083894,4.53643658792558,44-4,[16.04555955816779],[1.659952779792754]
192,45-3,gneJ29,45,17.732717736660124,6.158332166389016,45-5,[35.46543547332025],[10.123986835294481]
193,45-4,566,45,2.103922521646775,4.932604683947551,5662,[4.20784504329355],[3.8342379915977256]
194,45-5,45,gneJ29,17.732717736660124,6.158332166389016,45-3,[35.46543547332025],[2.1926774974835515]
195,46-1,gneJ25,46,63.77083918137146,1.2402947523837846,0,[63.77083918137146],[1.2402947523837846]
196,46-2,585,46,13.016537812115342,7.574102013608654,5853,[26.033075624230683],[2.100361116473479]
197,46-3,584,46,12.149810356334749,3.515721019223222,5841,[24.2996207126695],[6.7201674625845325]
198,46-4,haiguan,46,9.173918149681905,5.07244639866488,haiguan2,[18.347836299363813],[1.771108606243013]
199,47-1,574,47,5.448581371400164,9.885195999354284,5743,[10.897162742800328],[7.379960340739725]
200,47-2,haiguan,47,1.4583392055684017,8.669374143674988,haiguan4,[2.916678411136803],[8.118990720199072]
201,47-3,582,47,6.6625093849084465,7.869372942769243,5821,[13.325018769816893],[7.737912012273383]
