,id,from,to,average_twodirection_density,average_twodirection_speed,reverse_edge,twodir_density_interval,twodir_speed_interval
270,5142,517,514,27.232423218397678,3.0766731883542615,5174,[54.46484643679536],[0.6953575661854373]
271,5143,513,514,30.622445571013127,2.8748797093094924,5132,[61.244891142026255],[5.543851510374152]
272,5151,534,515,23.690523790483805,3.0188497332580493,5343,[47.38104758096761],[1.067422271899297]
273,5152,516,515,26.54851950927036,3.4896806888967333,5164,[53.09703901854073],[1.2842333551467504]
274,5154,2452355799,515,27.739045640128314,3.966024806743808,-237315097#1,[55.478091280256635],[6.89624301378469]
275,5161,19,516,25.28401613621639,3.7908961087882567,19-3,[50.56803227243278],[1.637401769821048]
276,5163,517,516,29.92393031604967,1.7399489205196226,5171,[59.84786063209935],[2.09987843854143]
277,5164,515,516,26.71485589641249,3.4896806888967333,5152,[53.42971179282499],[5.695128022646716]
278,5171,516,517,29.92393031604967,1.7399489205196226,5163,[59.84786063209935],[1.380019402497815]
279,5172,524,517,17.644542170637074,2.4117188029758174,5244,[35.28908434127415],[1.0573834234672905]
280,5173,518,517,13.58824646349568,4.257342403910489,5181,[27.176492926991358],[5.593136048794392]
281,5174,514,517,27.3223018992469,3.0766731883542615,5142,[54.6446037984938],[5.457988810523086]
282,5181,517,518,13.58824646349568,4.257342403910489,5173,[27.176492926991358],[2.9215487590265834]
283,5182,523,518,5.539014632818946,2.7394876541395075,5234,[11.078029265637891],[1.922788006426886]
284,5183,519,518,26.319173508802578,4.063153048060731,5191,[52.63834701760516],[6.785541723478314]
285,5191,518,519,26.319173508802578,4.063153048060731,5183,[52.63834701760516],[1.3407643726431477]
286,5192,520,519,30.447041041739332,1.2260969911998871,5204,[60.894082083478665],[2.011772532040677]
287,5193,26,519,27.47387661804248,2.798328341469372,26-1,[54.947753236084964],[1.4366416122022865]
288,52-1,558,52,1.8623706669836948,9.96895388350797,5582,[3.724741333967389],[6.918919417797384]
289,52-2,2429271229,52,0.23692663753716006,26.072366151511627,0,[0.23692663753716006],[26.072366151511627]
290,52-3,587,52,23.98606094561464,9.736648498971237,0,[23.98606094561464],[9.736648498971237]
291,52-4,3662570820,52,2.0398082359738376,10.376033419961292,-829190339#1,[4.079616471947674],[7.510742325072927]
292,52-5,52,2429271228,1.7127740438470156,25.735220184903266,0,[1.7127740438470156],[25.735220184903266]
293,5201,521,520,31.32884228116728,1.2256167541485528,5211,[62.65768456233456],[2.160406944143322]
294,5203,521,520,37.01003405352629,0.5531634374043622,5213,[74.02006810705258],[0.6688629874004502]
295,5204,519,520,30.447041041739332,1.2260969911998871,5192,[60.894082083478665],[0.44042145035909736]
296,5211,520,521,32.048071690188344,1.2256167541485528,5201,[64.09614338037669],[0.29082656415378383]
297,5212,522,521,53.07641453517531,0.4795862323174548,5224,[106.15282907035062],[0.7667380321161748]
298,5213,520,521,36.1284213707401,0.5531634374043622,5203,[72.2568427414802],[0.43746388740827435]
299,5221,523,522,17.60091132570047,8.766595040880835,5233,[35.20182265140094],[4.431578639634688]
300,5222,528,522,41.13821343820206,1.2272607936752562,5284,[82.27642687640412],[0.33977634109157706]
301,5223,25,522,21.747692572667496,4.060292230114967,25-1,[43.495385145335],[4.319226141942032]
302,5224,521,522,53.07641453517531,0.4795862323174548,5212,[106.15282907035062],[0.1924344325187349]
303,5231,524,523,12.58069510945949,10.390167434988474,5243,[25.16139021891898],[7.522697708615907]
304,5233,522,523,17.60091132570047,8.766595040880835,5221,[35.20182265140094],[13.101611442126986]
305,5234,518,523,5.539014632818946,2.7394876541395075,5182,[11.078029265637891],[3.556187301852128]
306,5241,525,524,3.1981536432575006,10.987540323186135,5253,[6.396307286515001],[8.804291125848358]
307,5243,523,524,12.58069510945949,10.390167434988474,5231,[25.16139021891898],[13.25763716136104]
308,5244,517,524,17.644542170637074,2.4117188029758174,5172,[35.28908434127415],[3.7660541824843436]
309,5251,18,525,2.114840621977681,10.056811843563574,18-3,[4.229681243955361],[12.219661834219508]
310,5252,527,525,2.849365133190159,4.7722106237049235,5274,[5.698730266380317],[5.890881546327609]
311,5253,524,525,3.1981536432575006,10.987540323186135,5241,[6.396307286515001],[13.170789520523913]
312,5261,533,526,2.634438161063986,5.892313800460612,5333,[5.268876322127971],[6.674619415592618]
313,5262,532,526,0.9160385259631489,6.502876130089484,5324,[1.8320770519262979],[6.471421646237535]
314,5263,527,526,10.224561886411596,5.0119602292307555,5271,[20.449123772823192],[6.8560196217979765]
315,5271,526,527,10.224561886411596,5.0119602292307555,5263,[20.449123772823192],[3.167900836663535]
316,5272,531,527,20.201727462756875,4.3687084603153945,5314,[40.40345492551375],[6.771657219828353]
317,5274,525,527,2.849365133190159,4.7722106237049235,5252,[5.698730266380317],[3.653539701082239]
318,5282,530,528,48.71627405833038,1.3019103011875093,5304,[97.43254811666077],[1.0836678000126736]
319,5283,529,528,25.86838486937846,3.923801799476241,5291,[51.73676973875691],[1.135368482712072]
320,5284,522,528,41.13821343820206,1.2272607936752562,5222,[82.27642687640412],[2.1147452462589356]
321,5291,528,529,25.86838486937846,3.923801799476241,5283,[51.73676973875691],[6.712235116240409]
322,5292,24,529,6.89337100732248,3.5153937603466137,24-4,[13.78674201464496],[2.327983129380413]
323,5294,25,529,17.28615705697287,2.7900768392329445,25-2,[34.57231411394574],[1.716581091679566]
324,53-1,586,53,2.979662128439941,21.58818978476326,0,[2.979662128439941],[21.58818978476326]
325,53-2,2429079673,53,0.28888553138150236,25.455223055305133,0,[0.28888553138150236],[25.455223055305133]
326,53-4,50,53,1.196283206826842,8.26536363664127,50-2,[2.392566413653684],[7.575477478162505]
327,53-5,53,2561506487,1.6966063420610697,25.491061705952845,0,[1.6966063420610697],[25.491061705952845]
328,5301,531,530,26.563102987973455,3.300190115538312,5313,[53.12620597594691],[1.5050679192195417]
329,5303,24,530,24.736330835414932,3.7543414943626714,24-1,[49.472661670829865],[1.5569796357829908]
330,5304,528,530,48.71627405833038,1.3019103011875093,5282,[97.43254811666077],[1.5201528023623447]
331,5311,532,531,29.831131840496226,3.547396905316484,5323,[59.662263680992446],[2.3707931584790836]
332,5313,530,531,26.701961906578905,3.300190115538312,5301,[53.40392381315781],[5.095312311857083]
333,5314,527,531,20.201727462756875,4.3687084603153945,5272,[40.40345492551375],[1.9657597008024352]
334,5321,17,532,31.37967870495912,2.80140209005804,17-3,[62.75935740991824],[2.8659017673577076]
335,5323,531,532,29.665951547693243,3.547396905316484,5311,[59.33190309538649],[4.724000652153885]
336,5324,526,532,0.9160385259631489,6.502876130089484,5262,[1.8320770519262979],[6.534330613941433]
337,5332,17,533,12.213664167171224,4.420187422337654,17-4,[24.427328334342445],[4.698222892040746]
338,5333,526,533,2.634438161063986,5.892313800460612,5261,[5.268876322127971],[5.110008185328605]
339,5334,18,533,13.279378442122942,4.698579408105421,18-2,[26.55875688424588],[5.98212639570425]
340,5342,19,534,6.275568681928467,4.182542842784752,19-4,[12.551137363856935],[6.163327903426522]
341,5343,515,534,23.690523790483805,3.0188497332580493,5151,[47.38104758096761],[4.970277194616803]
342,5344,20,534,4.402923007574171,3.0609408875787265,20-2,[8.80584601514834],[3.7171895212277977]
343,5351,545,535,31.186207920424597,3.3805354036235404,5453,[62.3724158408492],[0.41315002732640593]
344,5352,baixing,535,21.103363230688704,3.739300157496277,0,[21.103363230688704],[3.739300157496277]
345,5353,538,535,27.238475423750803,3.4947488355435286,5381,[54.476950847501605],[5.892752440565983]
346,5354,542,535,19.520914136237884,5.448309306199614,5422,[39.04182827247576],[0.822904449819355]
347,5363,537,536,0.8067602595549987,6.624996790524695,5371,[1.6135205191099977],[6.430330714715864]
348,5364,535,536,0.7621044492029502,22.05510864394131,0,[0.7621044492029502],[22.05510864394131]
349,5371,536,537,0.8066087125916184,6.624996790524695,5363,[1.613217425183237],[6.819662866333529]
350,5373,hanchun,537,13.532391098716507,4.063647621942576,hanchun1,[27.064782197433015],[2.125611218680337]
351,5374,538,537,21.88633708417881,4.116315746869431,5382,[43.772674168357625],[6.5891757676869105]
352,5381,535,538,27.240292836623112,3.4947488355435286,5353,[54.48058567324622],[1.0967452305210745]
353,5382,537,538,21.88633708417881,4.116315746869431,5374,[43.772674168357625],[1.643455726051952]
354,5383,539,538,20.536401423368233,4.050241505255901,5391,[41.072802846736465],[5.019666807748091]
355,5384,541,538,18.560688950890825,4.213269653858682,5412,[37.12137790178165],[5.678324143145839]
356,5391,538,539,20.54555971016813,4.050241505255901,5383,[41.09111942033626],[3.080816202763711]
357,5392,hanchun,539,10.013449502743484,9.953905605965339,hanchun4,[20.026899005486968],[12.361218962507216]
358,5394,90,539,2.9512958095595105,20.844771403868986,0,[2.9512958095595105],[20.844771403868986]
359,54-1,595,54,29.93018275507837,4.091649116966221,5953,[59.86036551015674],[1.161737315037036]
360,54-2,xinbeimenqiao,54,2.6025879737882858,8.306447636924794,qiao4,[5.205175947576571],[11.506026777193448]
361,54-3,siwangting,54,28.58662357210878,4.450297662911986,siwangting1,[57.17324714421756],[8.206636448167425]
362,54-4,shita,54,29.248933479109052,5.473391276017779,shita2,[58.497866958218104],[1.0197321930565444]
363,5401,541,540,3.72789369814719,4.798476352460847,5413,[7.45578739629438],[6.734264364970942]
364,5402,539,540,3.0030370336793437,25.425188347622594,0,[3.0030370336793437],[25.425188347622594]
365,5411,542,541,23.140393695763144,3.9177832765791587,5423,[46.280787391526296],[6.705775320126598]
366,5412,538,541,18.478803558460424,4.213269653858682,5384,[36.95760711692085],[2.748215164571524]
367,5413,540,541,3.727765132355421,4.798476352460847,5401,[7.455530264710842],[2.8626883399507537]
368,5422,535,542,19.530333722044624,5.448309306199614,5354,[39.06066744408925],[10.073714162579874]
369,5423,541,542,23.10721908948995,3.9177832765791587,5411,[46.2144381789799],[1.1297912330317192]
370,5424,543,542,13.339321520804564,6.526846441055694,5432,[26.678643041609128],[2.6341958709346085]
371,5432,542,543,13.36043026885943,6.526846441055694,5424,[26.72086053771886],[10.419497011176778]
372,5433,90,543,2.037153135148185,7.818742626585298,90-1,[4.07430627029637],[7.870465140244586]
373,5442,90,544,1.2651281732265793,10.059783581483966,90-4,[2.5302563464531582],[12.044034535501735]
374,5443,kaifagang,544,19.84680881658142,6.702488733691434,kaifagang1,[39.69361763316284],[12.15875567286329]
375,5452,37,545,15.00425459655917,4.476978491225236,37-4,[30.008509193118343],[1.5765778409425022]
376,5453,535,545,31.173712055443016,3.3805354036235404,5351,[62.34742411088603],[6.347920779920675]
377,5461,baixing,546,9.16698761152834,5.860838330690976,baixing3,[18.33397522305668],[8.867697470764336]
378,5462,547,546,11.947398488310775,6.713377239380302,5474,[23.89479697662155],[4.522222760906533]
379,5463,hanjiang,546,9.335667894199874,6.881663821293291,hanjiang1,[18.671335788399748],[10.242485180099473]
380,5472,548,547,9.406251235226687,8.184833641374862,5484,[18.812502470453374],[8.97728604893426]
381,5473,549,547,3.900702289280642,5.728616605987844,5491,[7.801404578561284],[5.339557026118674]
382,5474,546,547,11.94529876977153,6.713377239380302,5462,[23.89059753954306],[8.90453171785407]
383,5481,kangcheng,548,2.061146845602478,7.946289510176009,kangcheng3,[4.122293691204956],[10.371348796897395]
384,5483,hanshang,548,1.927279861955697,8.380584705585074,hanshang1,[3.854559723911394],[9.873880147363476]
385,5484,547,548,9.406251235226687,8.184833641374862,5472,[18.812502470453374],[7.392381233815462]
386,5491,547,549,3.900702289280642,5.728616605987844,5473,[7.801404578561284],[6.117676185857012]
387,5492,hanshang,549,2.985970885959008,25.23199747106475,0,[2.985970885959008],[25.23199747106475]
388,5494,549,550,3.1466061463926387,25.77207771995542,0,[3.1466061463926387],[25.77207771995542]
389,55-2,50,55,29.966316135392702,4.654213487390351,50-3,[59.932632270785405],[8.764088751856445]
390,55-3,589,55,13.87276878845118,4.908036312119053,5891,[27.74553757690236],[5.038307713455253]
391,55-4,590,55,34.31874530547811,3.02180331824807,5901,[68.63749061095622],[0.608205709761553]
392,5511,qiyue,551,1.950239811246451,10.231745688942123,qiyue3,[3.900479622492902],[13.170927435084847]
393,5513,kailai,551,1.2655991580213501,11.064005478392952,kailai1,[2.5311983160427003],[12.884629570108316]
394,5522,553,552,13.639497442534047,4.184593912629551,5534,[27.278994885068094],[6.66413318547212]
395,5523,hanmei,552,2.5708921128445184,2.4242648325890195,hanmei1,[5.141784225689037],[2.5708665262186767]
396,5531,hanzhong,553,2.670861242448122,7.8320999344408975,hanzhong3,[5.341722484896244],[7.055339127401039]
397,5532,554,553,23.056181920135533,3.7394242641534827,5544,[46.11236384027107],[6.173076477564139]
398,5533,laihetai,553,2.5692698429863534,6.513122062091952,laihetai1,[5.138539685972707],[5.630507563774945]
399,5534,552,553,13.639497442534047,4.184593912629551,5522,[27.278994885068094],[1.705054639786982]
400,5541,baicui,554,26.606693643149132,4.186954850639953,baicui3,[53.21338728629826],[2.1511030668626288]
401,5543,yonghua,554,29.173062634928645,4.863491855958941,yonghua1,[58.34612526985729],[9.219933481827393]
402,5544,553,554,23.055769311070947,3.7394242641534827,5532,[46.11153862214189],[1.305772050742826]
403,5551,556,555,0.9342676009342676,6.510301901321046,5563,[1.8685352018685353],[6.178218582805612]
404,5552,baicui,555,9.00074439556035,6.488008813453841,baicui4,[18.001488791120696],[10.912127035407526]
405,5554,hanzhong,555,2.6381830489563773,6.915081262599887,hanzhong2,[5.276366097912755],[5.481160788709848]
406,5562,557,556,0.6059323073902264,6.613756351678733,5574,[1.211864614780453],[6.745686256006808]
407,5563,555,556,0.9337068160597572,6.510301901321046,5551,[1.8674136321195145],[6.842385219836481]
408,5573,baicui,557,23.47736951395488,6.065521572028028,baicui1,[46.95473902790976],[10.608359895656301]
409,5574,556,557,0.6059323073902264,6.613756351678733,5562,[1.211864614780453],[6.481826447350659]
410,5581,2429079882,558,1.0360855815125218,13.18884437192829,5584,[2.0721711630250437],[13.283157304292917]
411,5582,52,558,1.8623706669836948,9.96895388350797,52-1,[3.724741333967389],[13.018988349218555]
412,5583,haide,2429079882,3.420556754225467,9.105706316114027,haide3,[6.841113508450933],[12.833230514119704]
413,5584,558,2429079882,1.0363163495566758,13.18884437192829,5581,[2.0726326991133512],[13.094531439563667]
414,5591,laihetai,559,2.3191472877699892,25.6014004514315,0,[2.3191472877699892],[25.6014004514315]
415,5592,559,560,3.2129265705908043,26.186445871139885,0,[3.2129265705908043],[26.186445871139885]
416,5593,561,559,2.6936970602889883,2.5527743622371726,5612,[5.3873941205779765],[2.4298506574257246]
417,56-1,596,56,27.328802924094223,5.605348395937223,5962,[54.65760584818845],[1.0228972493786086]
418,56-2,daxue,56,10.260824478001492,9.293400843978551,0,[10.260824478001492],[9.293400843978551]
419,56-4,88,56,24.455748615556573,2.510974205376529,88-2,[48.91149723111314],[1.53965408997611]
420,5601,562,560,0.30540168508953597,6.847477399111235,5621,[0.6108033701790719],[6.756533139589497]
421,5611,hanmei,561,2.6044413967718114,2.5146539776852785,hanmei3,[5.208882793543623],[2.517612644656447]
422,5612,559,561,2.6952078270081636,2.5527743622371726,5593,[5.390415654016327],[2.6756980670486206]
423,5613,563,561,2.5971316246074103,2.267487888672584,5631,[5.194263249214821],[2.648936863782755]
424,5614,564,561,1.1123858129261914,2.535911085591432,5642,[2.2247716258523824],[2.637145269852093]
425,5621,560,562,0.29942835940780976,6.847477399111235,5601,[0.5988567188156195],[6.938421658632974]
426,5622,shuili,562,14.736262648754298,6.59233698951435,shuili4,[29.472525297508593],[10.440075161092254]
427,5623,563,562,16.707926644724395,8.113959617043301,5632,[33.41585328944879],[5.247691419264208]
428,5631,561,563,2.5971316246074103,2.267487888672584,5613,[5.194263249214821],[1.8860389135624125]
429,5632,562,563,16.72358543258262,8.113959617043301,5623,[33.44717086516523],[10.980227814822396]
430,5633,43,563,12.190853501642223,6.164270177303204,43-2,[24.381707003284443],[5.120383546122312]
431,5641,kailai,564,1.7929524571141846,9.965612447750141,kailai3,[3.5859049142283688],[12.02380176660506]
432,5642,561,564,1.1132452036568095,2.535911085591432,5614,[2.2264904073136185],[2.4346769013307714]
433,5643,43,564,7.176468170796859,8.19600420364012,43-1,[14.35293634159372],[12.740519337983248]
434,5651,566,565,0.9892292498831663,6.7335365696420215,5664,[1.9784584997663326],[6.6081386577432415]
435,5652,89,565,1.0314169606205006,26.264935573490988,0,[1.0314169606205006],[26.264935573490988]
436,5661,hanchun,566,1.4244919085395784,6.112147563281327,hanchun3,[2.848983817079157],[6.58839304456939]
437,5662,45,566,2.103922521646775,4.932604683947551,45-4,[4.20784504329355],[6.030971376297374]
438,5663,578,566,1.2854160270870318,6.33087747034428,5781,[2.5708320541740637],[6.730322129751986]
439,5664,565,566,0.9892292498831663,6.7335365696420215,5651,[1.9784584997663326],[6.858934481540802]
440,5671,shuili,567,2.731852853693167,8.969731810442324,shuili3,[5.4637057073863335],[12.790946777965427]
441,5672,haiguan,567,3.3703997595631323,9.631224744209208,haiguan1,[6.740799519126265],[12.517159339788321]
442,5673,568,567,0.7601977899168568,6.533361198942941,5682,[1.5203955798337137],[6.483791590458458]
443,5681,569,568,1.0955851050509604,6.677046927304274,5691,[2.1911702101019204],[6.760067934129155]
444,5682,567,568,0.7601977899168568,6.533361198942941,5673,[1.5203955798337137],[6.582930807427425]
445,5683,571,568,0.6931532765763121,6.806950438753924,5712,[1.3863065531526242],[6.778925018132707]
446,5691,568,569,1.0752291774189584,6.677046927304274,5681,[2.150458354837917],[6.5940259204793925]
447,5692,570,569,0.8237983061304617,6.714145962716624,5701,[1.6475966122609234],[6.683441491536718]
448,5693,572,569,1.3554935901342924,6.5202500577711335,5722,[2.710987180268585],[6.819347049755013]
449,57-1,624,57,13.013543907206067,7.665270751089991,6242,[26.027087814412134],[4.284750074308064]
450,57-2,625,57,3.865014110023343,7.064908386196399,6252,[7.730028220046686],[4.332107319286947]
451,57-3,60,57,4.266757573149932,6.017502463162193,60-1,[8.533515146299862],[4.429173737054557]
452,57-4,623,57,18.054910785287202,6.469986695382838,6231,[36.109821570574404],[8.963365758232246]
453,5701,569,570,0.8237983061304617,6.714145962716624,5692,[1.6475966122609234],[6.74485043389653]
454,5702,571,570,0.8604171583336143,6.698091555641772,5711,[1.7208343166672284],[6.81856386292184]
455,5703,573,570,0.8527597715491444,6.572831147175296,5732,[1.7055195430982886],[6.609516837414589]
456,5711,570,571,0.8604171583336143,6.698091555641772,5702,[1.7208343166672284],[6.577619248361705]
457,5712,568,571,0.709255365308234,6.806950438753924,5683,[1.418510730616468],[6.834975859375142]
458,5713,574,571,1.13284617701744,6.504849710373047,5742,[2.26569235403488],[6.7554360701879705]
459,5721,43,572,9.32100932100932,8.177911598745148,43-3,[18.642018642018645],[12.05090572990329]
460,5722,569,572,1.355369676285665,6.5202500577711335,5693,[2.71073935257133],[6.221153065787255]
461,5723,573,572,1.069784258267659,13.09259612182009,5731,[2.1395685165353178],[13.459659199676755]
462,5731,572,573,1.069784258267659,13.09259612182009,5723,[2.1395685165353178],[12.725533043963425]
463,5732,570,573,0.8527597715491444,6.572831147175296,5703,[1.7055195430982886],[6.536145456936002]
464,5733,574,573,1.431664660246121,12.960852834280445,5741,[2.863329320492242],[12.659484387844959]
465,5734,575,573,0.4874490030556682,6.7308592776127725,5752,[0.9748980061113363],[6.835062782830404]
466,5741,573,574,1.431664660246121,12.960852834280445,5733,[2.863329320492242],[13.26222128071593]
467,5742,571,574,1.13284617701744,6.504849710373047,5713,[2.26569235403488],[6.254263350558123]
468,5743,47,574,5.448581371400164,9.885195999354284,47-1,[10.897162742800328],[12.390431657968843]
469,5751,575,gneJ28,4.126821493624774,13.310445845664784,0,[4.126821493624774],[13.310445845664784]
470,5752,573,575,0.4867843234733615,6.7308592776127725,5734,[0.9735686469467231],[6.626655772395141]
471,5753,48,575,3.7484558122267666,20.602240446330203,0,[3.7484558122267666],[20.602240446330203]
472,5754,44,gneJ27,2.003928650635238,20.994077843803662,0,[2.003928650635238],[20.994077843803662]
473,5761,89,576,0.6113136505276718,11.834191865886492,89-4,[1.2226273010553435],[12.070289035456472]
474,5762,577,576,0.9576179612496768,9.55154237949586,5771,[1.9152359224993538],[10.814772504280544]
475,5771,576,577,0.9630891706267155,9.55154237949586,5762,[1.9261783412534308],[8.288312254711178]
476,5772,huangdu,577,2.7578586126920346,20.03317560116871,0,[2.7578586126920346],[20.03317560116871]
477,5773,577,3168028287,4.270952546814615,23.520783821192424,0,[4.270952546814615],[23.520783821192424]
478,5781,566,578,1.285184443777177,6.33087747034428,5663,[2.5703688875543547],[5.931432810936572]
479,5782,49,578,1.0656799011997469,10.083610787697292,49-4,[2.1313598023994937],[12.619553378148344]
480,5783,89,578,1.2108891178705303,10.95522130452602,89-2,[2.42177823574106],[12.876345434825598]
481,5791,panqiao,579,8.22102241928628,7.604245570972018,panqiao4,[16.442044838572556],[12.44045269666881]
482,5792,huangdu,579,4.368820924561357,6.150135348196763,huangdu2,[8.737641849122713],[6.635784179384188]
483,58-1,616,58,27.271275587093427,6.813137999242453,6163,[54.542551174186855],[0.7283199442750491]
484,58-2,622,58,15.031301216303625,5.727854953498907,6223,[30.06260243260725],[0.8501206498787053]
485,58-3,626,58,18.426454441921205,6.879983414417728,6261,[36.85290888384241],[1.1750812107710789]
486,58-4,613,58,37.86035568094421,2.2598415149825075,6132,[75.72071136188842],[3.0675347301091884]
487,5801,48,580,0.4697634742557731,9.813687048434033,48-4,[0.9395269485115463],[12.855501481641022]
488,5802,49,580,0.7092411620207197,10.05516689081348,49-2,[1.4184823240414397],[6.666367511803918]
489,5811,xinwen,581,1.1561368779865073,8.523274717393175,xinwen1,[2.3122737559730147],[9.844753319547198]
490,5812,48,581,2.3031998970739593,8.740581194783248,48-3,[4.606399794147919],[10.846135893928615]
491,5821,47,582,6.6625093849084465,7.869372942769243,47-3,[13.325018769816893],[8.000833873265103]
492,5822,583,582,17.024542779559667,3.78584731380452,5833,[34.049085559119334],[5.120790519734331]
493,5823,shidai,582,10.58592931741329,7.532908710144455,shidai1,[21.171858634826584],[8.678854262713678]
494,5831,shifuxi,583,24.10879444355513,3.787742484676745,shifuxi4,[48.21758888711026],[6.6792656735297875]
495,5832,3276692253,583,5.238681951024707,4.445935871637748,320964139#1,[10.477363902049412],[2.481457294017566]
496,5833,582,583,17.024542779559667,3.78584731380452,5822,[34.049085559119334],[2.4509041078747096]
497,5834,shifu,3276692253,2.5678813862093604,25.443263254336824,0,[2.5678813862093604],[25.443263254336824]
498,5841,46,584,12.149810356334749,3.515721019223222,46-3,[24.2996207126695],[0.311274575861913]
499,5842,585,584,10.638435890450058,3.8265445490202543,5852,[21.276871780900116],[1.8692021113451684]
500,5843,shuangqiao,584,51.191492142571576,0.728343303702177,shuangqiao1,[102.38298428514315],[1.2205969909385317]
501,5844,shifuxi,584,29.311433078897522,1.9385291966885487,shifuxi2,[58.622866157795045],[0.6261927833920827]
502,5851,51,585,1.164008777654815,12.160963499768787,51-4,[2.32801755530963],[12.164537162812374]
503,5852,584,585,10.594725893768492,3.8265445490202543,5842,[21.18945178753698],[5.7838869866953395]
504,5853,46,585,13.016537812115342,7.574102013608654,46-2,[26.033075624230683],[13.047842910743828]
505,5861,52,586,1.7195855244181146,25.770487460483825,0,[1.7195855244181146],[25.770487460483825]
506,5862,586,5128119154,1.516490753739233,26.643919608947215,0,[1.516490753739233],[26.643919608947215]
507,5863,5128119154,588,9.407500355554658,7.148424919491186,0,[9.407500355554658],[7.148424919491186]
508,5871,53,587,0.8165645960921551,25.830200670753065,0,[0.8165645960921551],[25.830200670753065]
509,5872,7682641978,587,3.9353334953494024,25.44509580660219,0,[3.9353334953494024],[25.44509580660219]
510,5873,suidaodong,7682641978,3.55075726462879,24.917970264542515,0,[3.55075726462879],[24.917970264542515]
511,5881,yingbin,588,2.785132247048383,6.392891311510398,yingbin1,[5.570264494096766],[5.53715689271153]
512,5891,55,589,13.871632312805971,4.908036312119053,55-3,[27.743264625611946],[4.777764910782855]
513,5892,hongyuan,589,13.765078299405433,5.696778380305133,hongyuan1,[27.530156598810866],[9.113627000690858]
514,5893,595,589,24.52893887282932,5.048815239563227,5952,[49.057877745658644],[8.553720770521634]
515,59-1,623,59,17.93293652272191,1.9956452023740678,6232,[35.86587304544382],[0.7230968147085851]
516,59-2,60,59,14.99175490439575,4.724868015518112,60-4,[29.9835098087915],[1.6399381682703404]
517,59-3,630,59,2.051483380290364,8.06441795220014,6301,[4.102966760580728],[7.3261729039992805]
518,59-4,622,59,17.714177553494025,4.937863516768758,6222,[35.42835510698805],[7.468706543448547]
519,5901,55,590,34.240281535393564,3.02180331824807,55-4,[68.48056307078713],[5.435400926734586]
520,5902,591,590,32.62164717462537,1.7843383646883455,5912,[65.24329434925075],[1.5804766694729027]
521,5911,593,591,32.86358298291473,5.530490981953717,5933,[65.72716596582944],[0.5507727730382437]
522,5912,590,591,32.625450117872596,1.7843383646883455,5902,[65.25090023574519],[1.9882000599037886]
523,5913,594,591,33.50500318995333,4.565596869331115,5941,[67.01000637990666],[4.857546115811719]
524,5914,592,591,16.22284984197431,6.025283857443023,5921,[32.445699683948625],[1.2306424465054677]
525,5921,591,592,16.451854882705945,6.025283857443023,5914,[32.90370976541189],[10.819925268380578]
526,5922,jinghua,592,21.175550656642738,2.6751534279959683,jinghua2,[42.351101313285476],[1.323831279308038]
527,5931,shuangqiao,593,32.93897004373081,1.6889462716633457,shuangqiao3,[65.87794008746162],[0.8857404705318418]
528,5932,590,593,0.09547815459822795,22.194329718029834,0,[0.09547815459822795],[22.194329718029834]
529,5933,591,593,32.86358298291473,5.530490981953717,5911,[65.72716596582944],[10.510209190869189]
530,5941,591,594,33.515131667338444,4.565596869331115,5913,[67.03026333467687],[4.27364762285051]
531,5942,595,594,33.34127488352393,4.771920300875234,5951,[66.68254976704786],[6.366486966972472]
532,5943,592,594,25.211262956360997,13.082040275240793,0,[25.211262956360997],[13.082040275240793]
533,5951,594,595,33.35681596677825,4.771920300875234,5942,[66.7136319335565],[3.177353634777995]
534,5952,589,595,24.537740628166162,5.048815239563227,5893,[49.075481256332324],[1.5439097086048201]
535,5953,54,595,29.933902546129435,4.091649116966221,54-1,[59.86780509225887],[7.021560918895405]
536,5961,panqiao,596,12.701721312006427,4.87092248791751,panqiao3,[25.403442624012854],[2.517358296571176]
537,5962,56,596,27.338578266625927,5.605348395937223,56-1,[54.67715653325185],[10.187799542495837]
538,5971,huangdu,597,0.5882761865037873,11.589463843550984,huangdu3,[1.1765523730075744],[13.024005490574016]
539,5972,88,597,2.360945736110241,8.113679266144418,88-1,[4.721891472220482],[12.937190579676452]
540,5981,87,598,28.674423761828987,3.0012367430982763,87-3,[57.34884752365797],[5.118188491771403]
541,5982,86,598,26.260876831754647,2.1404499788453366,86-1,[52.5217536635093],[3.1631320248747183]
542,5991,56,599,92.74020795227972,4.0338148413685895,0,[92.74020795227972],[4.0338148413685895]
543,5992,600,599,23.627099114595396,5.042510263470106,6001,[47.254198229190784],[2.525184078846995]
544,6-2,tiyu,6,15.354308826295897,5.33689876337789,tiyu4,[30.708617652591798],[6.340916104089343]
545,6-3,505,6,12.357188683668307,4.087149300737802,5051,[24.714377367336613],[2.2458293483471095]
546,6-4,7684610443,6,13.814831255152827,4.950466172733455,tiyu9,[27.629662510305653],[5.476755172486945]
547,60-1,57,60,4.266757573149932,6.017502463162193,57-3,[8.533515146299862],[7.605831189269831]
548,60-2,caohe,60,12.633562699280258,4.5657053431095225,caohe4,[25.267125398560513],[1.643500787782378]
549,60-3,633,60,1.1645710196646963,9.328485874757247,6331,[2.3291420393293927],[8.455272978938314]
550,60-4,59,60,14.99175490439575,4.724868015518112,59-2,[29.9835098087915],[7.809797862765882]
551,6001,599,600,23.794750927221447,5.042510263470106,5992,[47.589501854442894],[7.559836448093218]
