flow,region,accumulation,G,CV
0.2,0,260,0.5,1.5199781835859756
0.2,0,266,0.4,1.3293422046556047
0.2,0,271,2.1,1.2517588233879169
0.2,0,252,1.6,1.3411724667621248
0.2,0,246,0.7,1.4370900540824056
0.2,0,254,1.2,1.5368602692572355
0.2,0,253,0.4,1.6826194325660533
0.2,0,260,2.2,1.5351334907810628
0.2,0,248,1.3,1.6174135389396291
0.2,0,248,0.9,1.5990777557904459
0.2,0,248,0.5,1.602293451885218
0.2,0,254,0.5,1.5858278271294273
0.2,0,260,1.9,1.371254972122305
0.2,0,246,1.4,1.3578177280901367
0.2,0,244,0.5,1.4899211335928124
0.2,0,248,1.1,1.7534744317809243
0.2,0,251,2.0,1.6396168853112651
0.2,0,249,2.0,1.6596026706227829
0.2,0,244,1.1,1.8644758281343494
0.2,0,248,1.2,1.5353629479699438
0.2,0,255,0.7,1.1712820212663875
0.2,0,258,0.7,1.2580271312157865
0.2,0,259,2.2,1.3074150660304724
0.2,0,247,1.0,1.5424656281053777
0.2,0,250,1.0,1.2999300279372663
0.2,0,250,0.9,1.5848194768649027
0.2,0,252,0.4,1.6800305039751002
0.2,0,261,2.9,1.5414205658608258
0.2,0,241,1.3,1.3787487747994662
0.2,0,238,0.7,1.5545462839074256
0.2,0,247,0.6,1.302795413675643
0.2,0,254,0.4,1.1389332120773326
0.2,0,266,1.4,1.202424466983713
0.2,0,262,1.5,1.3031463411798974
0.2,0,262,1.4,1.2495254606768427
0.2,0,254,0.6,1.3093633386887304
0.2,0,258,2.0,1.7151021657844285
0.2,0,257,1.4,1.4244167483504901
0.2,0,251,0.6,1.3879625655440948
0.2,0,259,0.9,1.369759953829607
0.2,0,262,0.6,1.6238881427015155
0.2,0,268,0.3,1.3651095132545805
0.2,0,276,0.9,1.238385297803544
0.2,0,281,1.2,1.33373234188835
0.2,0,277,1.2,1.3339650311145552
0.2,0,277,0.9,1.536598991337534
0.2,0,275,0.1,1.8277167080979007
0.2,0,283,2.8,1.79011415584768
0.2,0,266,0.8,1.7289790518331314
0.2,0,271,0.9,1.492810919921835
0.2,0,272,0.8,1.625183490483978
0.2,0,280,0.6,1.6421212240055247
0.2,0,288,1.4,1.443258980128615
0.2,0,288,1.1,1.4174131742438878
0.2,0,289,1.3,1.4186629498991323
0.2,0,284,0.3,1.4534388316808806
0.2,0,293,1.5,1.701138348297474
0.2,0,284,3.1,1.608978443252874
0.2,0,262,1.2,1.6830377280826845
0.2,0,262,0.9,1.7614727806819717
0.2,0,265,0.7,1.631300140998508
0.2,0,268,0.9,1.5655915473184432
0.2,0,274,1.7,2.0630401992523684
0.2,0,264,1.3,1.6417320818528476
0.2,0,266,1.0,1.3114775346860725
0.2,0,264,0.9,1.2210212905014972
0.2,0,269,0.4,1.4447650175410538
0.2,0,279,3.4,1.6608902506357328
0.2,0,251,1.3,1.5271403256791518
0.2,0,243,0.8,1.5450948014162365
0.2,0,246,0.3,1.781992219341347
0.2,0,249,0.7,1.640494260981771
0.2,0,254,1.2,1.4279492315191031
0.2,0,254,1.1,1.7582949517449018
0.2,0,257,1.3,1.5496148759866548
0.2,0,258,1.0,1.6302311225384567
0.2,0,257,1.0,1.8004981637954482
0.2,0,260,2.9,1.7908378373633167
0.2,0,242,1.7,1.5815732522694785
0.2,0,237,0.7,1.3373598628782486
0.2,0,246,1.1,1.3926844107559637
0.2,0,247,0.7,1.4104737491245534
0.2,0,244,1.6,1.374739344784033
0.2,0,236,1.8,1.6761354748409527
