,time_interval,region,MFD_function,N_critical,r_squared,x,y,x_update,y_update
0,0,0,[-3.30295676e-11 -9.93790193e-07  5.52127963e-03],2472,0.5282471330266063,"[134, 134, 150, 182, 205, 237, 270, 296, 320, 347, 369, 395, 419, 436, 458, 471, 490, 516, 549, 577, 593, 595, 603, 604, 628, 674, 702, 705, 735, 768, 790, 791, 793, 789, 780, 811, 845, 890, 912, 925, 926, 925, 923, 928, 931, 950, 986, 1025, 1053, 1084, 1085, 1081, 1096, 1103, 1101, 1109, 1134, 1176, 1194, 1216, 1231, 1237, 1226, 1245, 1241, 1255, 1285, 1300, 1296, 1299, 1326, 1344, 1348, 1355, 1318, 1340, 1367, 1399, 1400, 1429, 1432, 1424, 1464, 1469, 1460, 1464, 1481, 1508, 1523, 1522, 1513, 1552, 1562, 1556, 1564, 1583, 1600, 1617, 1639, 1644, 1664, 1688, 1691, 1690, 1687, 1717, 1752, 1756, 1743, 1752, 1768, 1783, 1797, 1793, 1794, 1812, 1834, 1871, 1897, 1885, 1886, 1903, 1903, 1915, 1924, 1931, 1948, 1989, 2021, 2052, 2042, 2017, 2025, 2027, 2026, 2043, 2087, 2114, 2145, 2168, 2183, 2191, 2163, 2161, 2161, 2187, 2230, 2266, 2261, 2273, 2290, 2317, 2339, 2325, 2328, 2363, 2378, 2386, 2392, 2382, 2388, 2404, 2409, 2446, 2437, 2427, 2428, 2448, 2464, 2495, 2492, 2487, 2492, 2507, 2535, 2543, 2529, 2541, 2539, 2561, 2546, 2580, 2588, 2598, 2593, 2606, 2627, 2657, 2655, 2658, 2678, 2692, 2704, 2704, 2697, 2711, 2731, 2767, 2784, 2786, 2798, 2801, 2811, 2823, 2823, 2810, 2829, 2867, 2909, 2942, 2943, 2943, 2948, 2944, 2939, 2937, 2964, 3009, 3021, 3022, 3034, 3041, 3031, 3023, 3014, 3037, 3074, 3098, 3122, 3140, 3157, 3165, 3189, 3182, 3171, 3178, 3209, 3246, 3262, 3273, 3275, 3306, 3315, 3290, 3301, 3328, 3353, 3380, 3409, 3427, 3432, 3443, 3453, 3452, 3455, 3480, 3506, 3509, 3529, 3561, 3573, 3600, 3607, 3628, 3636, 3639, 3664, 3697, 3706, 3711, 3728, 3756, 3768, 3766, 3753, 3777, 3801, 3811, 3818, 3820, 3832, 3839, 3831, 3825, 3824, 3837, 3872, 3891, 3897, 3925, 3941, 3945, 3924, 3924, 3924, 3945, 3962, 3973, 3981, 3988, 4000, 3997, 3973, 3989, 3991, 4008, 4030, 4052, 4073, 4076, 4068, 4057, 4086, 4092, 4077, 4087, 4103, 4122, 4125, 4122, 4102, 4129, 4152, 4156, 4165, 4193, 4209, 4220, 4229, 4214, 4202, 4207, 4205, 4204, 4214, 4238, 4253, 4266, 4271, 4268, 4264, 4278, 4271, 4288, 4292, 4303, 4311, 4332, 4345, 4331, 4325, 4316, 4333, 4337, 4339, 4357, 4362, 4367, 4384, 4375]","[0.0, 0.1, 0.3, 0.1, 0.4, 0.3, 0.6, 1.3, 0.6, 1.5, 1.1, 1.3, 2.7, 1.8, 2.5, 1.6, 0.8, 1.5, 2.1, 2.4, 4.2, 2.9, 3.9, 2.5, 1.8, 1.9, 3.4, 3.2, 1.6, 2.1, 5.7, 3.7, 4.3, 3.6, 2.2, 2.1, 2.2, 3.5, 3.2, 3.9, 5.1, 3.5, 4.0, 4.5, 2.1, 3.1, 3.3, 3.5, 3.1, 4.3, 5.4, 3.5, 3.4, 4.5, 4.2, 4.3, 1.8, 4.7, 3.8, 3.0, 6.5, 4.8, 4.0, 5.8, 3.3, 3.3, 3.5, 4.5, 3.9, 4.2, 5.8, 5.1, 6.5, 7.7, 3.6, 3.7, 2.0, 3.6, 2.5, 3.5, 7.7, 6.0, 4.7, 5.2, 4.5, 3.4, 2.5, 4.1, 3.8, 4.0, 5.5, 5.0, 5.8, 5.2, 3.5, 3.8, 3.3, 3.6, 4.1, 5.2, 6.0, 5.7, 5.1, 5.0, 2.6, 2.7, 3.7, 5.8, 6.4, 4.6, 4.0, 4.5, 4.3, 4.3, 3.8, 4.7, 2.5, 4.1, 7.3, 3.2, 6.5, 5.6, 3.6, 3.7, 3.9, 2.6, 2.8, 4.8, 3.5, 6.2, 8.6, 5.9, 4.2, 4.2, 3.1, 2.7, 3.6, 3.2, 5.0, 3.9, 5.2, 7.6, 5.1, 3.4, 5.1, 2.5, 2.8, 5.7, 3.7, 4.0, 5.0, 5.5, 5.0, 5.9, 2.3, 3.6, 5.1, 4.0, 6.4, 3.3, 4.7, 6.1, 4.5, 6.2, 5.6, 5.3, 3.6, 2.9, 3.2, 4.4, 5.4, 6.0, 3.9, 3.7, 4.4, 6.4, 3.3, 4.1, 3.2, 3.2, 7.0, 5.7, 3.1, 4.5, 3.8, 4.0, 2.8, 3.8, 3.9, 4.3, 6.0, 5.3, 4.7, 4.6, 3.0, 2.9, 3.3, 3.5, 6.4, 4.8, 5.5, 4.7, 3.5, 3.9, 6.0, 2.9, 1.9, 3.8, 4.8, 4.3, 6.2, 5.0, 3.5, 4.5, 4.3, 2.2, 2.3, 3.7, 4.4, 4.8, 5.6, 5.2, 5.7, 5.3, 2.2, 3.1, 2.8, 2.3, 3.7, 3.7, 5.6, 3.8, 4.4, 4.8, 4.9, 2.6, 1.4, 3.4, 2.9, 2.1, 4.5, 5.2, 6.7, 5.0, 3.1, 2.5, 1.7, 1.9, 2.4, 2.4, 4.4, 3.7, 6.4, 5.4, 2.6, 2.3, 3.4, 1.9, 2.6, 3.4, 2.8, 4.8, 3.9, 4.0, 4.2, 2.9, 1.3, 2.9, 4.1, 2.1, 4.4, 4.5, 4.1, 4.7, 1.9, 2.0, 3.3, 3.4, 3.5, 3.9, 5.6, 5.5, 4.5, 4.1, 2.0, 1.1, 1.5, 3.4, 3.9, 3.1, 4.2, 5.4, 3.9, 3.1, 1.5, 2.0, 2.2, 5.0, 3.8, 3.6, 5.9, 4.5, 3.1, 3.1, 1.5, 1.4, 2.9, 2.3, 3.4, 4.3, 4.8, 3.3, 3.9, 4.6, 2.4, 3.1, 2.5, 3.5, 4.4, 4.9, 3.1, 2.9, 3.4, 2.8, 2.5, 2.8, 2.3, 3.1, 4.5, 4.4, 3.9, 3.4, 3.1, 3.7, 3.2, 2.0, 2.5, 3.0, 3.6, 3.9, 3.2, 3.7, 3.7, 3.4, 2.3, 3.5, 2.4, 2.1, 4.4, 4.1, 4.4, 4.3, 3.9, 2.9, 2.1, 2.5, 2.2, 2.8, 3.3, 3.9]","[205, 296, 347, 419, 549, 593, 702, 790, 890, 926, 1085, 1103, 1231, 1348, 1355, 1513, 1562, 1664, 1743, 1812, 1897, 2042, 2052, 2191, 2266, 2325, 2392, 2546, 2580, 2678, 2784, 2823, 2943, 3031, 3157, 3171, 3315, 3409, 3453, 3600, 3636, 3766, 3832, 3945, 4000, 4122, 4125, 4229, 4345]","[0.4, 1.3, 1.5, 2.7, 2.1, 4.2, 3.4, 5.7, 3.5, 5.1, 5.4, 4.5, 6.5, 6.5, 7.7, 5.5, 5.8, 6.0, 6.4, 4.7, 7.3, 8.6, 6.2, 7.6, 5.7, 5.9, 6.4, 7.0, 5.7, 6.0, 6.4, 6.0, 6.2, 5.7, 5.6, 4.9, 6.7, 2.4, 6.4, 4.8, 4.2, 4.7, 5.6, 5.4, 5.9, 4.9, 4.4, 4.5, 4.4]"
1,0,1,[ 1.01975683e-10 -1.43363502e-06  5.66801091e-03],2834,0.6855583600214284,"[230, 230, 246, 258, 281, 302, 329, 355, 381, 413, 438, 458, 487, 518, 542, 568, 598, 634, 661, 686, 722, 747, 789, 831, 844, 861, 888, 914, 946, 969, 974, 1011, 1046, 1082, 1108, 1125, 1125, 1144, 1168, 1189, 1214, 1258, 1287, 1328, 1349, 1360, 1386, 1382, 1401, 1429, 1452, 1471, 1538, 1580, 1605, 1618, 1623, 1640, 1641, 1653, 1660, 1711, 1763, 1804, 1821, 1824, 1815, 1831, 1856, 1873, 1903, 1910, 1956, 2024, 2047, 2051, 2059, 2068, 2058, 2073, 2097, 2142, 2177, 2203, 2247, 2258, 2284, 2289, 2310, 2328, 2364, 2401, 2425, 2438, 2456, 2490, 2511, 2533, 2547, 2558, 2592, 2608, 2631, 2678, 2686, 2699, 2730, 2771, 2797, 2828, 2846, 2847, 2881, 2926, 2958, 2996, 3017, 3038, 3048, 3068, 3079, 3146, 3145, 3189, 3203, 3217, 3228, 3239, 3253, 3281, 3307, 3327, 3352, 3391, 3448, 3449, 3478, 3480, 3489, 3489, 3499, 3547, 3621, 3670, 3678, 3708, 3697, 3687, 3701, 3717, 3740, 3764, 3815, 3886, 3912, 3911, 3911, 3905, 3912, 3936, 3983, 4023, 4050, 4068, 4087, 4110, 4132, 4160, 4180, 4196, 4216, 4237, 4263, 4293, 4297, 4325, 4338, 4335, 4358, 4379, 4390, 4506, 4531, 4538, 4563, 4556, 4540, 4558, 4585, 4602, 4638, 4656, 4678, 4730, 4745, 4746, 4752, 4758, 4775, 4791, 4792, 4808, 4832, 4890, 4931, 4966, 5006, 5026, 5022, 5027, 5025, 5028, 5057, 5117, 5156, 5188, 5187, 5203, 5217, 5207, 5220, 5219, 5250, 5306, 5351, 5349, 5393, 5407, 5428, 5425, 5439, 5429, 5442, 5482, 5508, 5529, 5536, 5526, 5541, 5567, 5580, 5644, 5672, 5695, 5711, 5715, 5719, 5737, 5747, 5777, 5809, 5843, 5865, 5894, 5903, 5891, 5905, 5925, 5949, 5973, 5994, 6023, 6042, 6044, 6024, 6017, 6023, 6024, 6040, 6058, 6060, 6123, 6142, 6172, 6195, 6207, 6219, 6235, 6255, 6273, 6288, 6315, 6350, 6368, 6369, 6380, 6383, 6369, 6371, 6376, 6379, 6388, 6422, 6459, 6470, 6480, 6495, 6509, 6506, 6511, 6514, 6544, 6584, 6619, 6655, 6680, 6693, 6705, 6710, 6727, 6727, 6726, 6726, 6762, 6793, 6818, 6848, 6856, 6868, 6873, 6872, 6900, 6923, 6964, 6976, 6987, 6993, 6989, 6996, 7004, 6999, 7011, 7051, 7079, 7110, 7124, 7137, 7163, 7185, 7192, 7189, 7199, 7222, 7248, 7242, 7251, 7255, 7263, 7280, 7310, 7336, 7356, 7371, 7364, 7366, 7366, 7369, 7379, 7378, 7384]","[0.1, 0.4, 1.2, 0.5, 0.5, 1.2, 1.1, 0.5, 0.5, 1.8, 2.6, 2.7, 2.3, 1.7, 0.7, 1.6, 2.4, 3.0, 2.6, 1.7, 2.9, 3.3, 2.0, 3.6, 3.8, 2.2, 2.2, 4.1, 2.6, 3.1, 2.5, 3.4, 4.1, 4.4, 3.8, 3.1, 4.6, 4.2, 3.5, 2.7, 2.3, 3.1, 5.9, 5.6, 4.4, 4.5, 6.2, 6.0, 4.0, 3.7, 3.4, 2.4, 3.5, 5.1, 5.4, 5.7, 5.0, 5.7, 6.9, 4.2, 4.2, 2.8, 2.3, 5.3, 5.9, 6.8, 4.3, 3.8, 4.7, 6.2, 7.1, 2.7, 2.6, 4.0, 5.0, 6.8, 4.3, 6.3, 4.6, 4.3, 6.1, 5.5, 5.1, 3.3, 6.1, 4.9, 5.5, 3.9, 3.9, 2.7, 7.2, 5.1, 6.5, 6.1, 4.5, 5.2, 5.8, 5.5, 4.9, 4.3, 5.4, 5.2, 2.7, 5.8, 5.0, 5.5, 4.8, 4.7, 4.8, 4.4, 6.1, 4.0, 3.8, 3.3, 3.9, 5.3, 5.7, 7.1, 4.9, 3.6, 4.8, 6.8, 5.0, 6.0, 4.7, 5.0, 6.5, 6.6, 4.8, 3.6, 4.8, 5.5, 5.4, 3.6, 4.2, 4.5, 5.5, 7.0, 7.7, 5.3, 2.3, 2.4, 4.6, 6.1, 4.5, 5.5, 4.6, 5.4, 5.8, 5.1, 5.3, 4.6, 2.7, 5.3, 6.2, 4.1, 6.0, 5.5, 4.5, 2.8, 4.1, 4.4, 6.1, 6.1, 4.5, 4.0, 3.0, 3.3, 5.6, 6.4, 5.9, 4.1, 4.6, 6.3, 4.3, 4.0, 5.2, 3.7, 4.7, 3.7, 4.6, 3.5, 4.6, 2.9, 6.3, 6.4, 4.8, 3.8, 3.2, 4.3, 5.2, 3.9, 2.2, 3.1, 4.1, 6.8, 6.2, 4.1, 4.3, 4.8, 6.2, 5.1, 3.1, 1.9, 1.6, 3.9, 3.0, 6.3, 6.2, 4.7, 6.6, 4.9, 3.2, 2.3, 2.1, 2.8, 5.4, 5.0, 5.2, 4.2, 4.9, 4.1, 3.0, 2.4, 3.3, 3.1, 3.6, 3.7, 4.1, 3.6, 4.7, 5.0, 2.6, 3.8, 3.2, 3.3, 4.9, 3.2, 2.9, 2.5, 3.2, 4.1, 3.8, 4.3, 3.6, 3.1, 2.4, 3.7, 2.7, 1.7, 3.1, 2.6, 4.5, 4.9, 4.6, 2.8, 2.0, 2.6, 3.3, 4.2, 3.1, 4.2, 4.9, 5.8, 5.7, 4.0, 3.5, 2.9, 3.4, 2.9, 3.8, 3.5, 2.7, 3.2, 4.7, 3.6, 4.0, 3.3, 2.4, 3.1, 3.6, 2.2, 2.9, 3.6, 4.3, 5.1, 5.7, 3.5, 4.4, 3.9, 3.8, 2.6, 2.4, 2.9, 3.9, 3.1, 3.4, 5.0, 2.8, 4.0, 3.5, 1.1, 2.2, 1.7, 2.6, 2.4, 4.1, 3.6, 3.8, 3.9, 4.2, 3.6, 1.7, 1.1, 0.6, 1.6, 2.5, 2.1, 2.3, 2.0, 2.3, 2.1, 2.6, 1.8, 2.9, 2.6, 3.0, 2.2, 2.2, 3.2, 3.7, 2.1, 2.0, 2.1, 2.5, 0.9, 1.6, 1.3, 2.8, 3.5, 2.9, 2.7, 2.5, 3.3, 2.0, 2.9, 2.5, 1.0, 1.0, 1.7, 2.2, 3.5, 3.9, 2.5, 3.2, 2.3, 1.9, 3.2, 2.4, 1.2]","[246, 458, 634, 747, 914, 1082, 1125, 1386, 1401, 1641, 1824, 1903, 2051, 2247, 2364, 2425, 2678, 2846, 2996, 3038, 3239, 3327, 3489, 3670, 3740, 3912, 4050, 4196, 4338, 4556, 4746, 4792, 5025, 5187, 5217, 5429, 5536, 5695, 5894, 6044, 6195, 6219, 6383, 6509, 6727, 6923, 6999, 7192, 7371]","[1.2, 2.7, 3.0, 3.3, 4.1, 4.4, 4.6, 6.2, 4.0, 6.9, 6.8, 7.1, 6.8, 6.1, 7.2, 6.5, 5.8, 6.1, 5.3, 7.1, 6.6, 5.5, 7.7, 6.1, 5.3, 6.2, 6.1, 6.4, 5.2, 6.4, 6.8, 6.2, 6.6, 5.4, 5.2, 5.0, 4.9, 4.3, 4.9, 5.8, 4.7, 4.0, 5.7, 5.0, 4.2, 2.6, 3.7, 3.5, 3.9]"
2,0,2,[ 3.70257795e-11 -9.12389649e-07  4.46244045e-03],2990,0.6992641909966557,"[236, 236, 241, 252, 268, 285, 295, 324, 341, 367, 398, 421, 443, 474, 507, 534, 548, 570, 595, 620, 639, 681, 709, 739, 760, 772, 796, 810, 825, 836, 851, 897, 915, 962, 983, 1009, 1020, 1044, 1041, 1048, 1067, 1115, 1146, 1165, 1190, 1200, 1236, 1223, 1214, 1213, 1231, 1267, 1301, 1303, 1328, 1376, 1390, 1387, 1397, 1414, 1421, 1486, 1507, 1513, 1541, 1572, 1588, 1576, 1610, 1629, 1638, 1625, 1613, 1654, 1685, 1705, 1700, 1715, 1752, 1748, 1725, 1756, 1766, 1769, 1774, 1783, 1808, 1831, 1842, 1851, 1849, 1908, 1924, 1933, 1931, 1957, 1962, 1974, 1955, 1976, 1994, 2027, 2051, 2090, 2098, 2085, 2098, 2103, 2113, 2136, 2161, 2202, 2219, 2236, 2257, 2254, 2252, 2249, 2260, 2254, 2265, 2350, 2371, 2379, 2400, 2412, 2412, 2424, 2420, 2422, 2433, 2443, 2471, 2496, 2515, 2512, 2531, 2541, 2560, 2545, 2544, 2562, 2588, 2576, 2608, 2665, 2658, 2674, 2672, 2687, 2700, 2712, 2697, 2692, 2710, 2770, 2792, 2784, 2813, 2835, 2844, 2873, 2884, 2913, 2946, 2945, 2945, 2964, 2958, 2963, 2978, 3011, 3058, 3078, 3101, 3094, 3109, 3106, 3083, 3069, 3052, 3157, 3153, 3169, 3175, 3209, 3229, 3251, 3238, 3252, 3233, 3269, 3271, 3280, 3306, 3325, 3334, 3342, 3370, 3377, 3378, 3408, 3415, 3426, 3443, 3446, 3438, 3429, 3443, 3465, 3487, 3519, 3553, 3556, 3566, 3552, 3536, 3584, 3594, 3630, 3643, 3698, 3738, 3755, 3758, 3753, 3768, 3770, 3781, 3790, 3815, 3862, 3899, 3896, 3925, 3934, 3941, 3947, 3938, 3929, 3926, 4006, 4006, 4040, 4058, 4075, 4083, 4094, 4118, 4132, 4139, 4136, 4168, 4197, 4221, 4217, 4198, 4215, 4236, 4249, 4252, 4267, 4286, 4287, 4310, 4324, 4312, 4329, 4352, 4356, 4359, 4420, 4426, 4421, 4423, 4444, 4449, 4448, 4448, 4456, 4465, 4518, 4553, 4576, 4606, 4610, 4607, 4605, 4611, 4658, 4672, 4696, 4733, 4760, 4777, 4798, 4806, 4812, 4819, 4828, 4828, 4853, 4885, 4912, 4925, 4920, 4926, 4952, 4955, 4980, 4978, 5011, 5046, 5053, 5049, 5045, 5079, 5100, 5110, 5105, 5134, 5170, 5172, 5167, 5177, 5178, 5180, 5186, 5193, 5212, 5236, 5271, 5278, 5282, 5295, 5304, 5311, 5320, 5350, 5368, 5386, 5424, 5462, 5477, 5500, 5502, 5495, 5495, 5507, 5509, 5506, 5544, 5586, 5617, 5633, 5621, 5636, 5641, 5631, 5622]","[0.2, 0.5, 0.3, 0.6, 0.7, 1.0, 0.6, 0.8, 0.9, 0.3, 1.9, 0.7, 1.0, 0.9, 1.5, 2.0, 1.1, 1.1, 1.1, 1.7, 2.2, 1.5, 1.9, 1.2, 3.1, 2.5, 1.9, 3.2, 3.4, 1.2, 3.1, 2.6, 2.1, 2.8, 1.9, 2.7, 2.8, 3.2, 2.7, 1.6, 2.8, 2.9, 3.8, 3.0, 4.0, 3.0, 3.6, 4.3, 4.2, 2.0, 3.4, 4.5, 3.5, 3.2, 2.7, 4.1, 5.0, 4.0, 2.4, 2.2, 4.2, 3.9, 3.2, 2.5, 2.6, 4.5, 6.0, 2.9, 2.6, 3.5, 7.6, 5.4, 4.3, 2.4, 3.2, 5.4, 3.6, 3.5, 5.1, 4.9, 5.5, 5.4, 3.2, 4.3, 4.6, 3.1, 4.0, 3.2, 3.4, 2.7, 6.1, 4.7, 5.5, 5.4, 3.0, 4.3, 4.0, 5.1, 3.3, 3.5, 5.0, 5.0, 3.1, 3.4, 4.9, 5.9, 5.3, 2.8, 3.4, 2.2, 4.4, 4.4, 4.0, 3.2, 4.8, 6.2, 4.1, 3.9, 4.5, 3.2, 6.2, 4.4, 3.7, 3.2, 3.6, 4.5, 5.4, 3.9, 4.2, 4.5, 6.1, 5.3, 3.4, 4.7, 3.7, 4.7, 3.8, 3.5, 5.1, 4.5, 5.6, 4.9, 6.6, 3.2, 3.2, 5.2, 3.2, 4.7, 2.3, 2.6, 6.3, 7.6, 5.1, 4.9, 2.8, 3.7, 5.5, 2.7, 2.2, 3.1, 5.3, 4.2, 3.3, 2.9, 4.8, 6.5, 3.0, 3.8, 4.9, 4.2, 4.6, 3.7, 2.9, 2.9, 5.5, 4.7, 5.6, 5.2, 4.2, 3.2, 5.7, 5.0, 3.0, 4.2, 2.9, 4.0, 4.1, 4.7, 3.0, 4.9, 3.5, 5.4, 4.6, 2.5, 2.3, 4.9, 5.9, 2.9, 4.7, 3.5, 5.0, 5.6, 4.1, 2.8, 4.3, 6.7, 3.5, 2.8, 2.7, 2.2, 4.8, 2.9, 4.4, 3.8, 5.3, 4.3, 3.1, 2.7, 1.6, 3.0, 3.8, 3.1, 3.4, 3.8, 3.5, 4.2, 4.0, 3.3, 3.1, 2.6, 3.0, 4.4, 4.0, 2.5, 3.2, 3.3, 4.3, 4.1, 4.4, 2.9, 4.7, 5.9, 2.8, 2.0, 2.2, 3.2, 3.4, 2.4, 3.0, 3.0, 6.8, 2.7, 3.6, 2.8, 3.5, 4.9, 1.6, 2.6, 2.1, 4.6, 5.1, 5.0, 4.6, 3.5, 3.5, 5.0, 2.9, 2.3, 2.6, 1.2, 3.7, 5.3, 5.1, 5.0, 2.9, 3.0, 3.6, 4.3, 3.1, 2.3, 2.6, 2.9, 3.2, 1.4, 3.1, 5.4, 5.0, 2.4, 1.7, 2.1, 3.4, 2.4, 2.3, 2.1, 3.1, 3.8, 3.4, 3.9, 2.3, 2.0, 4.4, 1.9, 1.9, 1.9, 3.6, 2.7, 2.6, 2.8, 2.9, 3.7, 3.0, 1.9, 3.1, 3.2, 2.9, 1.6, 1.6, 3.2, 3.5, 1.0, 3.5, 4.7, 3.3, 2.2, 4.6, 3.0, 2.8, 3.9, 1.3, 1.8, 4.5, 4.0, 3.3, 2.2, 2.5, 2.0, 2.4, 1.6, 2.4, 2.5, 3.8, 2.2, 3.5, 1.4, 2.8, 3.8, 2.9, 2.0, 2.8, 3.9, 2.6, 3.9, 1.7, 2.2, 3.9, 2.1, 2.0, 3.5, 3.1, 2.4]","[285, 398, 534, 639, 760, 825, 962, 1044, 1223, 1267, 1390, 1486, 1638, 1725, 1849, 1924, 2085, 2161, 2254, 2433, 2544, 2588, 2712, 2792, 2945, 3052, 3109, 3269, 3334, 3446, 3566, 3753, 3862, 3926, 4006, 4139, 4252, 4420, 4448, 4610, 4672, 4828, 4925, 4980, 5170, 5236, 5386, 5509, 5544]","[1.0, 1.9, 2.0, 2.2, 3.1, 3.4, 2.8, 3.2, 4.3, 4.5, 5.0, 3.9, 7.6, 5.5, 6.1, 5.5, 5.9, 4.4, 6.2, 6.1, 5.6, 6.6, 7.6, 5.5, 6.5, 5.7, 5.6, 5.4, 5.9, 6.7, 5.3, 4.2, 4.4, 4.7, 5.9, 6.8, 5.1, 5.3, 4.3, 5.4, 3.4, 4.4, 3.6, 3.7, 4.7, 4.5, 3.8, 3.9, 3.9]"
